forecast_id,feature_timestamp,forecast_timestamp,horizon_seconds,sensor,model,current_value,predicted_value,change_from_current,status,severity,alert_type,reason,model_reliability,created_at
1679,2026-06-08 00:07:09,2026-06-08 00:08:09,60,mag_z,Ridge,370.3,229.2488503849778,-141.0511496150222,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.601239
1680,2026-06-08 00:07:09,2026-06-08 00:08:09,60,temperature,Persistence,45.5,45.5,0.0,NORMAL,INFO,NONE,Predicted temperature 45.50 °C is below warning threshold.,HIGH,2026-09-11 11:16:31.601470
1681,2026-06-08 00:07:10,2026-06-08 00:08:10,60,vib_x_rms,XGBoost,0.101384,0.1109149158000946,0.0095309158000946,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1109 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.601711
1682,2026-06-08 00:07:10,2026-06-08 00:08:10,60,vib_y_rms,XGBoost,0.130924,0.143375352025032,0.012451352025032,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1434 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.601954
1683,2026-06-08 00:07:10,2026-06-08 00:08:10,60,vib_z_rms,XGBoost,0.065587,0.0637113153934478,-0.0018756846065521,NORMAL,INFO,NONE,Predicted vibration 0.0637 is below warning threshold.,MODERATE,2026-09-11 11:16:31.602287
1684,2026-06-08 00:07:10,2026-06-08 00:08:10,60,mag_x,Ridge,375.858,230.5067814137846,-145.3512185862154,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.602607
1685,2026-06-08 00:07:10,2026-06-08 00:08:10,60,mag_y,Ridge,141.176,226.72300365447103,85.54700365447107,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.602936
1686,2026-06-08 00:07:10,2026-06-08 00:08:10,60,mag_z,Ridge,399.126,228.6630549660765,-170.46294503392352,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.603313
1687,2026-06-08 00:07:10,2026-06-08 00:08:10,60,temperature,Persistence,45.5,45.5,0.0,NORMAL,INFO,NONE,Predicted temperature 45.50 °C is below warning threshold.,HIGH,2026-09-11 11:16:31.603629
1688,2026-06-08 00:07:12,2026-06-08 00:08:12,60,vib_x_rms,XGBoost,0.12199,0.1096860170364379,-0.012303982963562,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1097 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.603971
1689,2026-06-08 00:07:12,2026-06-08 00:08:12,60,vib_y_rms,XGBoost,0.128597,0.1427379697561264,0.0141409697561264,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1427 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.604233
1690,2026-06-08 00:07:12,2026-06-08 00:08:12,60,vib_z_rms,XGBoost,0.073059,0.0637564733624458,-0.0093025266375541,NORMAL,INFO,NONE,Predicted vibration 0.0638 is below warning threshold.,MODERATE,2026-09-11 11:16:31.604462
1691,2026-06-08 00:07:12,2026-06-08 00:08:12,60,mag_x,Ridge,104.972,233.89209571198936,128.9200957119894,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.604680
1692,2026-06-08 00:07:12,2026-06-08 00:08:12,60,mag_y,Ridge,180.446,231.40687576980235,50.96087576980233,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.604934
1693,2026-06-08 00:07:12,2026-06-08 00:08:12,60,mag_z,Ridge,107.492,228.479344247737,120.987344247737,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.605231
1694,2026-06-08 00:07:12,2026-06-08 00:08:12,60,temperature,Persistence,45.5,45.5,0.0,NORMAL,INFO,NONE,Predicted temperature 45.50 °C is below warning threshold.,HIGH,2026-09-11 11:16:31.605529
1695,2026-06-08 00:07:13,2026-06-08 00:08:13,60,vib_x_rms,XGBoost,0.108217,0.107258453965187,-0.0009585460348129,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1073 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.605838
1696,2026-06-08 00:07:13,2026-06-08 00:08:13,60,vib_y_rms,XGBoost,0.136316,0.1406118869781494,0.0042958869781494,WARNING,MEDIUM,ELEVATED_VIBRATION,Predicted vibration 0.1406 exceeds warning threshold 0.10.,MODERATE,2026-09-11 11:16:31.606157
1697,2026-06-08 00:07:13,2026-06-08 00:08:13,60,vib_z_rms,XGBoost,0.061151,0.0637707486748695,0.0026197486748695,NORMAL,INFO,NONE,Predicted vibration 0.0638 is below warning threshold.,MODERATE,2026-09-11 11:16:31.606455
1698,2026-06-08 00:07:13,2026-06-08 00:08:13,60,mag_x,Ridge,268.492,232.43457143012512,-36.0574285698749,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.606723
1699,2026-06-08 00:07:13,2026-06-08 00:08:13,60,mag_y,Ridge,231.504,230.7206513877724,-0.7833486122275701,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.606955
1700,2026-06-08 00:07:13,2026-06-08 00:08:13,60,mag_z,Ridge,274.568,231.95681035018293,-42.61118964981705,LOW_CONFIDENCE,INFO,MODEL_RELIABILITY_WARNING,Magnetic forecasting model has low predictive reliability based on walk-forward evaluation.,LOW,2026-09-11 11:16:31.607239
1701,2026-06-08 00:07:13,2026-06-08 00:08:13,60,temperature,Persistence,45.5,45.5,0.0,NORMAL,INFO,NONE,Predicted temperature 45.50 °C is below warning threshold.,HIGH,2026-09-11 11:16:31.607611
